Protein;Protein ID;Entry Name;Gene;Protein Length;Organism;Protein Existence;Description;Protein Probability;Top Peptide Probability;Combined Total Peptides;Combined Spectral Count;Combined Total Spectral Count;WT_RT_1 Intensity;WT_RT_2 Intensity;WT_RT_3 Intensity;WT_Cold_1 Intensity;WT_Cold_2 Intensity;WT_Cold_2 Intensity;WT_RT_1 MaxLFQ Intensity;WT_RT_2 MaxLFQ Intensity;WT_RT_3 MaxLFQ Intensity;WT_Cold_1 MaxLFQ Intensity;WT_Cold_2 MaxLFQ Intensity;WT_Cold_3 MaxLFQ Intensity;Indistinguishable Proteins
sp|P42762|CLPD_ARATH;P42762;CLPD_ARATH;CLPD;945;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Chaperone protein ClpD, chloroplastic;1;0.999;28;117;167;386542.1;399212.97;773076.2;46490.68;126920.375;330977.38;87819.21;108472.22;182870.9;24437.389;41777.35;88200.94;
sp|P42763|ERD14_ARATH;P42763;ERD14_ARATH;ERD14;185;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Dehydrin ERD14;1;0.999;17;362;362;2814590.2;3085530.2;5183247.5;1381225.9;1563181.9;2469169.8;717366.25;734739.3;1282767.5;356535.38;373351.1;593699.8;
sp|P42770|GSHRP_ARATH;P42770;GSHRP_ARATH;EMB2360;565;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Glutathione reductase, chloroplastic;1;0.999;16;276;276;1421907.8;1444450.6;1652915.5;444625.22;672109.75;1380721.4;163601.4;171724.67;312991.34;62148.484;84320.69;155529.45;
sp|P42791|RL182_ARATH;P42791;RL182_ARATH;RPL18B;187;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;60S ribosomal protein L18-2;1;0.999;14;93;173;636529.06;284720.2;397982.3;358598.84;313098.97;416742.22;121263.695;74182.99;67222.01;107049.91;78742.21;80380.39;
sp|P42794|RL112_ARATH;P42794;RL112_ARATH;RPL11D;182;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L11-2;1;0.999;13;151;151;1098314.9;706493.1;848619.25;775880.1;674135.25;787625.1;335887.9;235579.47;323250.44;227719.28;197434.44;230732.75;sp|P42795|RL111_ARATH
sp|P42798|R15A1_ARATH;P42798;R15A1_ARATH;RPS15AF;130;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;40S ribosomal protein S15a-1;1;0.999;11;107;107;511384.44;342475.03;299859.28;444247.6;343036.7;286051.97;111756.3;74165.984;83684.14;94924.12;76729.81;65077.28;
sp|P42799|GSA1_ARATH;P42799;GSA1_ARATH;GSA1;474;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Glutamate-1-semialdehyde 2,1-aminomutase 1, chloroplastic;1;0.999;16;256;256;1365371.4;1133027.9;1898385.1;470688.12;702023.8;1819003.9;299723.47;248766.33;412405.4;95482.87;140912.33;217057.58;
sp|P42801|INO1_ARATH;P42801;INO1_ARATH;IPS1;511;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Inositol-3-phosphate synthase isozyme 1;0.9131;0.999;1;3;3;0;0;0;16963.701;13741.129;0;0;0;0;0;0;0;sp|Q38862|INO2_ARATH
sp|P42804|HEM11_ARATH;P42804;HEM11_ARATH;HEMA1;543;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Glutamyl-tRNA reductase 1, chloroplastic;1;0.999;5;12;12;7824.726;20608.176;40999.22;0;0;3107.4604;6293.1733;16082.399;18916.098;0;0;0;
sp|P43286|PIP21_ARATH;P43286;PIP21_ARATH;PIP2-1;287;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Aquaporin PIP2-1;1;0.999;3;15;16;65553.08;23613.654;0;43026.348;52346.668;40187.277;51608.652;0;0;0;38272.15;0;
sp|P43288|KSG1_ARATH;P43288;KSG1_ARATH;ASK1;405;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Shaggy-related protein kinase alpha;1;0.999;2;11;11;27123.535;41473.99;48295.15;0;0;45071.758;15626.858;18563.893;47172.547;0;0;21257.732;sp|P43289|KSG3_ARATH, sp|Q8VZD5|KSG5_ARATH
sp|P43295|RD19B_ARATH;P43295;RD19B_ARATH;RD19B;361;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Probable cysteine protease RD19B;0.8849;0.9986;1;2;2;0;0;0;0;10163.659;22138.559;0;0;0;0;0;0;sp|P43296|RD19A_ARATH, sp|Q9SUL1|RD19C_ARATH
sp|P43297|RD21A_ARATH;P43297;RD21A_ARATH;RD21A;462;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Cysteine proteinase RD21A;1;0.999;3;62;62;175333.95;70622.44;191476.81;75320.16;92785.34;151074.61;80517.61;33591.082;84089.01;35131.746;43335.902;70647.414;
sp|P45434|SSRA_ARATH;P45434;SSRA_ARATH;At2g21160;258;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Translocon-associated protein subunit alpha;1;0.999;5;35;35;130181;140502.89;251514.73;49565.906;61361.91;175930.28;77701.53;80350.43;104813.92;0;0;88443.19;
sp|P46032|PTR2_ARATH;P46032;PTR2_ARATH;NPF8.3;585;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein NRT1/ PTR FAMILY 8.3;1;0.999;4;39;39;30733.45;20786.654;69336.375;27172.71;32593.3;31564.441;16670.13;0;48744.29;14296.89;20958.533;23836.479;
sp|P46077|14334_ARATH;P46077;14334_ARATH;GRF4;267;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;14-3-3-like protein GF14 phi;1;0.999;10;21;94;23750.09;14005.42;104535.93;29008.014;22820.504;25619.66;0;0;63650.973;0;0;18053.287;
sp|P46248|AAT5_ARATH;P46248;AAT5_ARATH;ASP5;453;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Aspartate aminotransferase, chloroplastic;1;0.999;29;285;285;1648878.4;1181447;3400348.8;275248.62;535111.3;1584454.5;164468.75;126308.39;351118.03;68072.37;98713.805;207182.52;
sp|P46283|S17P_ARATH;P46283;S17P_ARATH;At3g55800;393;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Sedoheptulose-1,7-bisphosphatase, chloroplastic;1;0.999;26;403;403;4552146.5;4170761.5;5779865;1104159.1;1677493.2;3098502.2;994200.94;1036219.25;1244134.8;297786.53;412464.03;715914.2;
sp|P46286|RL81_ARATH;P46286;RL81_ARATH;RPL8A;258;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;60S ribosomal protein L8-1;1;0.999;21;255;255;1372893.6;724959.94;956757;1122921.1;1016312.3;968977.56;208097.5;140914.4;191253.4;179215.78;150006.89;139997.77;
sp|P46309|GSH1_ARATH;P46309;GSH1_ARATH;GSH1;522;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Glutamate--cysteine ligase, chloroplastic;1;0.999;14;155;155;406781.44;342183.34;1361810;56580.297;85002.08;551644.94;101111.56;88317.61;227314.05;30390.31;47154.652;107561.875;
sp|P46310|FAD3C_ARATH;P46310;FAD3C_ARATH;FAD7;446;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic;1;0.999;17;552;552;4804543.5;1.45E+07;1.57E+07;2088985;3389512.8;7560832;1493716;4414075;5081900;806981.94;1289760.1;2454549.2;
sp|P46312|FAD6C_ARATH;P46312;FAD6C_ARATH;FAD6;448;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Omega-6 fatty acid desaturase, chloroplastic;1;0.999;17;454;454;2635212.5;7651380;5955169.5;1768863;2715537.2;5263266;841348.2;2543463;2423566.8;582659.75;884919.4;1616474.8;
sp|P46416|GSHB_ARATH;P46416;GSHB_ARATH;GSH2;539;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Glutathione synthetase, chloroplastic;0.998;0.9989;2;2;2;8355.721;0;22539.705;0;0;9542.685;0;0;0;0;0;0;
sp|P46422|GSTF2_ARATH;P46422;GSTF2_ARATH;GSTF2;212;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Glutathione S-transferase F2;1;0.999;20;288;288;933110.94;544243.25;2297128.5;912156.25;1235653.2;2080931.5;162183.94;144383.23;542890.44;164893.27;226791.27;349928.44;
sp|P46643|AAT1_ARATH;P46643;AAT1_ARATH;ASP1;430;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Aspartate aminotransferase, mitochondrial;1;0.999;3;3;3;0;0;49200.742;0;0;0;0;0;0;0;0;0;
sp|P46644|AAT3_ARATH;P46644;AAT3_ARATH;ASP3;449;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Aspartate aminotransferase 3, chloroplastic;1;0.999;9;17;17;41000.64;28247.793;109484.984;0;12186.062;25864.525;14765.091;0;49902.754;0;0;10615.681;
sp|P46645|AAT2_ARATH;P46645;AAT2_ARATH;ASP2;405;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Aspartate aminotransferase, cytoplasmic isozyme 1;1;0.999;3;13;13;5551.639;0;98134.945;3854.2866;5687.469;9130.66;0;0;101676.08;0;0;0;
sp|P47192|VA722_ARATH;P47192;VA722_ARATH;VAMP722;221;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Vesicle-associated membrane protein 722;1;0.999;2;11;11;45596.53;0;0;53216.4;34016.914;16198.088;20951.8;0;0;23896.781;23654.895;0;sp|Q9ZTW3|VA721_ARATH
sp|P47998|CYSK1_ARATH;P47998;CYSK1_ARATH;OASA1;322;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Cysteine synthase 1;1;0.999;6;39;39;82929.95;102843.87;273088.06;65968.9;66513.75;99101.22;39792.363;51702.926;100556.32;43762.016;42742.168;48278.855;
sp|P47999|CYSKP_ARATH;P47999;CYSKP_ARATH;OASB;392;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Cysteine synthase, chloroplastic/chromoplastic;1;0.999;23;232;232;1810942.1;1411523.1;2933257.5;440967.3;694343.56;1660220.4;335349.97;281976.56;597781.4;123982.49;165101.58;294849.9;
sp|P48006|EF1D1_ARATH;P48006;EF1D1_ARATH;At1g30230;231;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Elongation factor 1-delta 1;1;0.999;7;72;95;91375.72;137212.98;221521.45;47012.918;94277.89;160914.8;37132.285;34424.293;61634.598;28839.469;30291.754;38551.6;
sp|P48347|14310_ARATH;P48347;14310_ARATH;GRF10;254;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;14-3-3-like protein GF14 epsilon;1;0.999;9;54;66;90107.1;48430.113;155039.45;41691.566;68432.13;89624.4;35338.535;27619.576;52822.73;23431.973;27486.38;35628.812;
sp|P48348|14338_ARATH;P48348;14338_ARATH;GRF8;248;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;14-3-3-like protein GF14 kappa;1;0.999;6;33;77;66689.58;60916.344;114712.41;48056.703;50340.38;55459.234;48511.06;69620.164;86371.64;52557.547;35471.19;0;
sp|P48349|14336_ARATH;P48349;14336_ARATH;GRF6;248;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;14-3-3-like protein GF14 lambda;1;0.999;7;82;88;192645.94;205578.81;419781.94;250933.75;240463.38;284638.1;111313.11;164175.67;240000.33;152641.3;139174.64;149119.86;
sp|P48421|C83A1_ARATH;P48421;C83A1_ARATH;CYP83A1;502;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Cytochrome P450 83A1;1;0.999;6;40;40;90222.86;68130.34;119049.97;75683.17;73785.266;147656.39;38813.098;42842.535;40789.367;33392.062;30775.656;60057.574;
sp|P48491|TPIS_ARATH;P48491;TPIS_ARATH;CTIMC;254;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Triosephosphate isomerase, cytosolic;1;0.999;6;100;126;312172.3;344474.1;480807;262952.5;291976.5;375979.7;87653.19;96614.91;156793.75;72555.945;81394.69;102504.586;
sp|P48578|PP2A4_ARATH;P48578;PP2A4_ARATH;PP2A4;313;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Serine/threonine-protein phosphatase PP2A-4 catalytic subunit;0.9999;0.999;3;19;19;46297.684;19161.914;131379.75;9394.811;12980.975;51803.355;29177.35;0;59394.418;0;0;32718.72;sp|Q07100|PP2A3_ARATH
sp|P48622|FAD3D_ARATH;P48622;FAD3D_ARATH;FAD8;435;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Temperature-sensitive sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic;1;0.999;10;131;193;178104.05;1023181.1;1192380.2;0;129603.75;688917;78642.945;360525.25;408497.5;0;81280.49;256622.47;
sp|P48641|GSHRC_ARATH;P48641;GSHRC_ARATH;At3g24170;499;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Glutathione reductase, cytosolic;1;0.999;4;11;11;0;4004.54;36810.76;8624.425;14097.445;4946.864;0;0;0;0;0;0;
sp|P49040|SUS1_ARATH;P49040;SUS1_ARATH;SUS1;808;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Sucrose synthase 1;0.894;0.9987;1;2;2;0;0;0;0;0;22673.143;0;0;0;0;0;0;
sp|P49077|PYRB_ARATH;P49077;PYRB_ARATH;PYRB;390;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Aspartate carbamoyltransferase, chloroplastic;0.9998;0.999;2;5;5;30622.963;0;88592.69;0;0;27294.4;0;0;0;0;0;0;
sp|P49107|PSAN_ARATH;P49107;PSAN_ARATH;PSAN;171;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Photosystem I reaction center subunit N, chloroplastic;1;0.999;13;200;200;2187131.5;980437.56;2767000.5;1928051.1;3189139.5;3490536.2;557987.7;320363.5;837929;511031.56;1329773.4;1178707.6;
sp|P49200|RS201_ARATH;P49200;RS201_ARATH;RPS20C;124;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;40S ribosomal protein S20-1;1;0.999;7;151;151;1017427.25;754973.2;951228.75;703030.75;659948;641094.4;226521.45;174785.23;239365.61;173880.72;146211.81;143661.98;
sp|P49201|RS232_ARATH;P49201;RS232_ARATH;RPS23B;142;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;40S ribosomal protein S23-2;1;0.999;9;93;93;592451.5;391163.84;623247.25;478912.44;381961.2;415889.97;197176.22;130067.6;154486.39;170650.12;136679.73;126546.125;
sp|P49204|RS42_ARATH;P49204;RS42_ARATH;RPS4B;262;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;40S ribosomal protein S4-2;1;0.999;20;295;295;1891425.1;1264327.4;1600190.1;1248653.9;1372654.9;1371933.4;228552.47;165166.92;214551.77;194883.19;170010.03;162185.3;sp|Q93VH9|RS41_ARATH
sp|P49205|RS171_ARATH;P49205;RS171_ARATH;RPS17A;141;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;40S ribosomal protein S17-1;1;0.999;8;153;153;1071700.8;756452.06;748895.3;680650.7;621306.94;643649.94;316898.8;217449.11;297218.1;213474.52;184046.05;198700.25;sp|Q9LZ17|RS174_ARATH, sp|Q9SJ36|RS172_ARATH, sp|Q9SQZ1|RS173_ARATH
sp|P49209|RL91_ARATH;P49209;RL91_ARATH;RPL9C;194;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;60S ribosomal protein L9-1;1;0.999;20;336;336;2018670;1415611.1;1805296.4;1296711.8;1255951;1182060;447189;344638.28;468795.34;272998.6;255251.75;264117.8;
sp|P49211|RL321_ARATH;P49211;RL321_ARATH;RPL32A;133;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L32-1;1;0.999;19;113;113;497763.06;219498.94;579001.5;617844;582146.3;340139;116329.85;99230.7;153041.55;119728.37;107951.65;90984.336;
sp|P49227|RL52_ARATH;P49227;RL52_ARATH;RPL5B;301;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L5-2;1;0.999;27;55;377;140975.95;105548.914;132266.73;125883.625;113692.76;90942.26;56043.617;41707.82;66909.16;49038.555;44711.836;36076.188;
sp|P49243|FABH_ARATH;P49243;FABH_ARATH;At1g62640;404;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Beta-ketoacyl-[acyl-carrier-protein] synthase III, chloroplastic;1;0.999;4;17;17;47179.26;55644.94;176968.47;15118.66;18967.234;38885.035;0;0;0;0;0;0;
sp|P49572|TRPC_ARATH;P49572;TRPC_ARATH;IGPS;402;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Indole-3-glycerol phosphate synthase, chloroplastic;1;0.999;13;60;60;167482.31;57672.137;394078.3;62233.43;67533.875;241449.12;62787.527;43384.895;79999.91;29900.943;46007.09;71018.586;
sp|P49599|P2C57_ARATH;P49599;P2C57_ARATH;PPH1;388;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein phosphatase 2C 57;1;0.999;9;59;59;92673.36;80148.984;356761.28;40224.156;75451.016;259409.55;29906.46;32009.385;84661.87;15786.549;24045.133;47230.9;
sp|P49637|R27A3_ARATH;P49637;R27A3_ARATH;RPL27AC;146;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L27a-3;1;0.999;7;157;157;1114171;817074.8;846767.75;796043.3;726703.25;763293;281095.03;217258.78;276476.75;228102.17;201561.39;204523.3;sp|Q9LR33|R27A2_ARATH
sp|P49688|RS23_ARATH;P49688;RS23_ARATH;RPS2C;285;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;40S ribosomal protein S2-3;1;0.999;26;398;398;1501876.9;1124720.4;1220042.5;1196323.4;1040197.5;1226861;191079.06;141653.47;177370.5;149780;131267.92;134841.06;
sp|P49689|RS30_ARATH;P49689;RS30_ARATH;RPS30C;62;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;40S ribosomal protein S30;1;0.999;3;35;35;176138.72;97306.98;0;305510.94;239948.9;153852.55;118022.25;81000.125;0;161277.89;128636.055;98891.46;
sp|P49690|RL23_ARATH;P49690;RL23_ARATH;RPL23C;140;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L23;1;0.999;5;57;57;485006.62;323632.88;142551.38;635670.4;475541.7;308886.5;192462.52;152466.92;122854.016;230992.4;179703.12;131904.61;
sp|P49691|RL4B_ARATH;P49691;RL4B_ARATH;RPL4D;407;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;60S ribosomal protein L4-2;1;0.999;36;144;467;2762831.8;436489.22;1172607.8;1471767.4;1509900;1911362.5;1515898.1;1184615.4;1225845.1;1498191;1227466.9;1088881.9;
sp|P49692|RL7A1_ARATH;P49692;RL7A1_ARATH;RPL7AA;257;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L7a-1;1;0.999;17;21;228;82871.04;63012.67;48280.81;99918.16;78247.06;34732.773;51332.19;39806.504;174046.56;56165.77;48047.918;0;
sp|P49693|RL193_ARATH;P49693;RL193_ARATH;RPL19C;208;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L19-3;1;0.9972;11;9;92;32099.836;0;6740.002;24043.941;24016.158;19063.07;0;0;0;0;0;0;
sp|P50318|PGKH2_ARATH;P50318;PGKH2_ARATH;At1g56190;478;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Phosphoglycerate kinase 2, chloroplastic;1;0.999;32;175;809;582689.75;779314.94;1455888.5;138815.6;324294.75;812220;233602.66;199781.05;313045.44;63932.008;97673.16;157270.47;
sp|P50546|RPOB_ARATH;P50546;RPOB_ARATH;rpoB;1072;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;DNA-directed RNA polymerase subunit beta;1;0.9986;4;8;8;0;3234.6655;38457.113;9488.288;10379.987;0;0;0;0;0;0;0;
sp|P50883|RL121_ARATH;P50883;RL121_ARATH;RPL12A;166;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L12-1;1;0.999;6;110;110;971906.7;815683.44;834509.9;745745.25;682764.94;683018.06;500914.75;444730.44;406496.84;450294.78;402872.2;367025.25;sp|Q9LFH5|RL122_ARATH
sp|P51407|RLA21_ARATH;P51407;RLA21_ARATH;RPP2A;115;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;60S acidic ribosomal protein P2-1;1;0.999;7;81;81;745869.2;527315;562396.25;592500.94;513432.78;550593.1;509724.2;378685.9;410337.22;439324.8;387570.22;379835.3;
sp|P51412|RK21_ARATH;P51412;RK21_ARATH;RPL21;220;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;50S ribosomal protein L21, chloroplastic;1;0.999;14;225;225;1717617.4;1636485.5;2180552.8;1107443.9;1149288.4;1631095.6;736894.56;794026.3;1250474.5;603426.44;702395.94;797352.06;
sp|P51413|RL172_ARATH;P51413;RL172_ARATH;RPL17B;175;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L17-2;1;0.9989;6;8;76;51775.902;0;31762.926;125771.39;62272.89;0;0;0;0;56276;36547.793;0;
sp|P51414|RL261_ARATH;P51414;RL261_ARATH;RPL26A;146;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L26-1;1;0.999;15;260;260;1298155.1;818239.4;1018811.5;1426992.4;1095505.4;823356.5;195505.9;124543.24;183474.23;198113.06;157712.34;121018.83;
sp|P51418|R18A2_ARATH;P51418;R18A2_ARATH;RPL18AB;178;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;60S ribosomal protein L18a-2;1;0.999;15;224;224;827189.7;511693.44;804435.06;882704.9;710435.6;590330.6;126927.14;91115.8;127951.11;114355.484;92823.766;93626.25;
sp|P51419|RL273_ARATH;P51419;RL273_ARATH;RPL27C;135;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;60S ribosomal protein L27-3;1;0.999;9;149;149;823769.44;499459.94;648160;905076.6;584460.9;564370.6;212218.61;140311.47;193683.83;224442.84;175193.34;148070.02;
sp|P51420|RL313_ARATH;P51420;RL313_ARATH;RPL31C;119;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;60S ribosomal protein L31-3;1;0.999;4;33;33;160968.83;72766.805;56877.53;128670.95;121172.44;83385.72;82014.08;51658.973;0;68411.88;64915.637;58565.977;
sp|P51422|R35A4_ARATH;P51422;R35A4_ARATH;RPL35AD;111;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;60S ribosomal protein L35a-4;1;0.999;11;74;74;616981.8;348595;363718.56;526355.3;410047.84;303047.75;226546.72;168518.42;199502.33;217121.17;188916.72;173320.31;
sp|P51424|RL391_ARATH;P51424;RL391_ARATH;RPL39C;51;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;60S ribosomal protein L39-1;1;0.999;5;64;64;116309.85;62357.055;158644.05;91560.26;79396.32;69291.96;46119.383;30243.242;49175.082;34493.84;31418.035;30614.938;
sp|P51427|RS52_ARATH;P51427;RS52_ARATH;RPS5B;207;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;40S ribosomal protein S5-2;1;0.999;14;141;141;690425;658424.75;953573.4;212717.95;243079.6;419107.6;161956.39;148747.31;233975.53;75931.734;88301.44;105982.47;
sp|P51430|RS62_ARATH;P51430;RS62_ARATH;RPS6B;249;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;40S ribosomal protein S6-2;1;0.999;14;66;241;303470.03;194798.56;392846.3;198869.77;198250.47;197876.48;96768.77;64363.98;114654.234;65758.59;68095.81;68414.75;
sp|P51818|HS903_ARATH;P51818;HS903_ARATH;HSP90-3;699;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Heat shock protein 90-3;0.9999;0.999;30;4;345;0;0;28034.287;0;6338.6074;17721.145;0;0;0;0;0;0;
sp|P52032|GPX1_ARATH;P52032;GPX1_ARATH;GPX1;236;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Phospholipid hydroperoxide glutathione peroxidase 1, chloroplastic;1;0.999;20;329;329;3000595;4396072.5;5928663.5;790350.5;1263502.1;2783246;1157392.1;1393446.2;2524429.2;288926.3;449786.44;957639.2;
sp|P52410|KASC1_ARATH;P52410;KASC1_ARATH;KAS1;473;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic;1;0.999;18;115;115;306264.38;171974.44;1386100.1;72157.37;99782.59;278897.84;76228.586;61113.156;169094.03;29590.314;44973.9;62092.758;
sp|P52420|PUR2_ARATH;P52420;PUR2_ARATH;PUR2;532;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Phosphoribosylamine--glycine ligase, chloroplastic;1;0.999;5;48;48;79067.47;69885.81;188255.58;15756.597;21828.45;102282.52;32296.625;30847.104;78335.56;9253.308;13273.464;27977.588;
sp|P52422|PUR3_ARATH;P52422;PUR3_ARATH;PUR3;292;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Phosphoribosylglycinamide formyltransferase, chloroplastic;0.9998;0.999;2;17;17;26761.979;18685.715;106118.65;8189.872;11908.234;22049.096;0;0;0;0;0;0;
sp|P52577|IFRH_ARATH;P52577;IFRH_ARATH;At1g75280;310;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Isoflavone reductase homolog P3;0.979;0.9989;3;3;3;0;0;0;0;0;6230.338;0;0;0;0;0;0;
sp|P53492|ACT7_ARATH;P53492;ACT7_ARATH;ACT7;377;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Actin-7;1;0.999;21;109;227;429690.75;311358.16;1018153.94;183288.28;206476.67;359822.78;134197.58;94543.92;336158.28;62279.43;68820.03;108849.914;
sp|P53780|METC_ARATH;P53780;METC_ARATH;At3g57050;464;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Cystathionine beta-lyase, chloroplastic;1;0.999;8;16;16;39265.336;0;255071.14;0;0;55051.54;23393.164;0;58488.35;0;0;23685.75;
sp|P54150|MSRA4_ARATH;P54150;MSRA4_ARATH;MSR4;258;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Peptide methionine sulfoxide reductase A4, chloroplastic;1;0.999;14;293;293;2934445;4333595;4302186;843158.8;1305277.8;2707050.2;1022690.1;1511490;2055645.9;309981.72;475522.66;1008071.7;
sp|P54609|CD48A_ARATH;P54609;CD48A_ARATH;CDC48A;809;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Cell division control protein 48 homolog A;1;0.999;11;82;82;52960.594;34503.223;121602.45;129565.94;132512.05;156402.03;20858.158;0;50094.582;25943.844;25571.83;40668.914;
sp|P54887|P5CS1_ARATH;P54887;P5CS1_ARATH;P5CSA;717;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Delta-1-pyrroline-5-carboxylate synthase A;1;0.999;13;61;61;102381.31;0;230858.62;152932.58;91018.13;63543.586;43639.87;0;85092.12;44770.824;43168.242;45111.027;
sp|P54888|P5CS2_ARATH;P54888;P5CS2_ARATH;P5CSB;726;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Delta-1-pyrroline-5-carboxylate synthase B;1;0.999;6;5;32;21833.678;0;0;42103.12;0;11463.896;0;0;0;0;0;0;
sp|P54904|P5CR1_ARATH;P54904;P5CR1_ARATH;PROC1;276;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Pyrroline-5-carboxylate reductase;0.9993;0.9989;2;2;2;0;13176.997;0;0;0;0;0;0;0;0;0;0;
